Model Name;Species Name
msp_0001.mat;msp_0001.mat
msp_0002.mat;msp_0002.mat
msp_0003.mat;Bacteroides_cellulosilyticus
msp_0004.mat;msp_0004.mat
msp_0005.mat;Escherichia_coli
msp_0006.mat;msp_0006.mat
msp_0007.mat;Bacteroides_ovatus
msp_0008.mat;Bacteroides_intestinalis
msp_0009.mat;[Clostridium]_bolteae
msp_0010.mat;Bacteroides_fragilis_1
msp_0011.mat;Bacteroides_thetaiotaomicron
msp_0012.mat;Parabacteroides_distasonis
msp_0013.mat;Ruminococcus_bicirculans
msp_0014.mat;Eisenbergiella_tayi
msp_0015.mat;Roseburia_faecis
msp_0016.mat;Bacteroides_plebeius
msp_0017.mat;Roseburia_intestinalis
msp_0018.mat;Eisenbergiella_massiliensis
msp_0019.mat;Bacteroides_faecis
msp_0020.mat;[Clostridium]_clostridioforme_1
msp_0021.mat;Bacteroides_xylanisolvens
msp_0022.mat;Bacteroides_finegoldii
msp_0023.mat;Bacteroides_caccae
msp_0024.mat;Hungatella_effluvii
msp_0025.mat;Akkermansia_muciniphila
msp_0026.mat;Paraprevotella_clara
msp_0027.mat;Parabacteroides_merdae
msp_0028.mat;Parabacteroides_goldsteinii
msp_0029.mat;[Eubacterium]_eligens
msp_0030.mat;Klebsiella_pneumoniae
msp_0031.mat;Bacteroides_stercoris
msp_0032.mat;Alistipes_onderdonkii
msp_0033.mat;Bacteroides_fragilis_2
msp_0034.mat;[Faecalibacterium]_sp._CAG:74
msp_0035.mat;Bacteroides_dorei
msp_0036.mat;Bacteroides_eggerthii
msp_0037.mat;Bacteroides_salyersiae
msp_0038.mat;msp_0038.mat
msp_0039.mat;Lachnospiraceae_bacterium_hRUG904_/_Clostridiales_bacterium_RUG495_/_[Clostridium]_sp._CAG:127
msp_0040.mat;Bacteroides_massiliensis
msp_0041.mat;Prevotella_copri_1
msp_0042.mat;Coprococcus_eutactus_2
msp_0043.mat;Bacteroides_coprocola
msp_0044.mat;Hungatella_hathewayi_1
msp_0045.mat;Ruminococcus_bromii_2
msp_0046.mat;Bacteroides_uniformis
msp_0047.mat;[Eubacterium]_sp._CAG:115
msp_0048.mat;[Eubacterium]_sp._CAG:38
msp_0049.mat;unclassified_Lachnoclostridium
msp_0050.mat;Anaerobutyricum_hallii
msp_0051.mat;msp_0051.mat
msp_0052.mat;Blautia_sp._CAG:257
msp_0053.mat;[Eubacterium]_siraeum
msp_0054.mat;Bacteroides_nordii
msp_0055.mat;Firmicutes_bacterium_CAG:65_/_[Clostridium]_sp._2789STDY5608883
msp_0056.mat;unclassified_Lachnoclostridium
msp_0057.mat;Roseburia_sp._CAG:45_&_sp._2789STDY5608886
msp_0058.mat;[Ruminococcus]_gnavus
msp_0059.mat;Barnesiella_intestinihominis
msp_0060.mat;Lachnospiraceae_bacterium_CIM:MAG_844_/_Firmicutes_bacterium_CAG:95
msp_0061.mat;Bacteroides_congonensis
msp_0062.mat;Odoribacter_splanchnicus
msp_0063.mat;Bacteroides_clarus
msp_0064.mat;unclassified_Bacteroidales_[Alistipes]_sp._CAG:435
msp_0065.mat;[Ruminococcus]_sp._CAG:17_/_Blautia_sp._2789STDY5608880
msp_0066.mat;[Clostridium]_sp._AT4
msp_0067.mat;Prevotella_sp._109_&_CAG:255
msp_0068.mat;[Eubacterium]_rectale
msp_0069.mat;Bacteroides_vulgatus
msp_0070.mat;Akkermansia_muciniphila_2
